id,name,area
Q763,Saint Kitts and Nevis,269.358763
Q766,Jamaica,10991.90954
Q769,Grenada,348.5
Q77,Uruguay,176215.0
Q774,Guatemala,108889.0
Q778,Bahamas,13878.0
Q781,Antigua and Barbuda,440.29
Q783,Honduras,112492.0
Q784,Dominica,751.096551
Q786,Dominican Republic,48670.82
Q79,Egypt,1010407.87
Q790,Haiti,27750.0
Q792,El Salvador,20742.0
Q794,Iran,1648195.0
Q796,Iraq,437072.0
Q800,Costa Rica,51100.0
Q801,Israel,20770.0
Q804,Panama,74177.3
Q805,Yemen,555000.0
Q810,Jordan,89341.0
Q811,Nicaragua,130375.0
Q813,Kyrgyzstan,199951.0
Q817,Kuwait,17818.0
Q819,Laos,236800.0
Q822,Lebanon,10452.0
Q826,Maldives,298.0
Q833,Malaysia,330290.0
Q836,Myanmar,676577.2
Q837,Nepal,147181.254346
Q842,Oman,309500.0
Q843,Pakistan,881913.0
Q846,Qatar,11437.0
Q851,Saudi Arabia,2250000.0
Q854,Sri Lanka,65610.0
Q858,Syria,185180.0
Q863,Tajikistan,143100.0
Q869,Thailand,513119.5
Q874,Turkmenistan,491210.0
Q878,United Arab Emirates,83600.0
Q881,Vietnam,331690.0
Q884,South Korea,100295.0
Q889,Afghanistan,652230.0
Q902,Bangladesh,147570.0
Q912,Mali,1240192.0
Q916,Angola,1246700.0
Q917,Bhutan,38394.0
Q921,Brunei,5765.313533
Q924,Tanzania,947303.0
Q928,Philippines,343448.0
Q929,Central African Republic,622984.0
Q945,Togo,56785.0
Q948,Tunisia,163610.0
Q953,Zambia,752618.0
Q954,Zimbabwe,390757.0
Q958,South Sudan,619745.304981
Q96,Mexico,1972550.0
Q962,Benin,114763.0
Q963,Botswana,581737.0
Q965,Burkina Faso,274200.0
Q967,Burundi,27834.0
Q970,Comoros,2034.0
Q971,Republic of the Congo,342000.0
Q974,Democratic Republic of the Congo,2344858.0
Q977,Djibouti,23200.0
Q983,Equatorial Guinea,28051.0
Q986,Eritrea,117600.0
